Date,Transaction_ID,Vendor/Description,Amount_USD,Category_Raw
6/1/2026,TXN-90812,FUEL DEPOSIT - SHELL STATION,120.5,FUEL
6/3/2026,TXN-90813,Adobe Systems inc. (SaaS subscription),-35,SOFTWARE_EXP
6/4/2026,90814,PILOT TRAVEL CENTER FUEL,240.75,fuel
6/5/2026,TXN-90815,OFFICE DEPOT - CHAIRS & DESK,-450,Supplies
6/8/2026,TXN-90816,CLIENT INVOICE #1041 - RECEIVED PAYMENT,1500,REVENUE
6/10/2026,,WROONG VENDOR ENTRY ERROR,-110,ERROR
6/12/2026,TXN-90818,AMAZON WEB SERVICES AWS CLOUD,-85.2,   utilities
6/15/2026,TXN-90819,REFUND FROM OFFICE DEPOT (RETURNED CHAIR),150,SUPPLIES
6/16/2026,TXN-90820,Tractor Supply Co. Repairs,-320,MAINTENANCE
6/18/2026,TXN-90821,SHELL OIL 04322,95,fuel 
6/18/2026,TXN-90821,SHELL OIL 04322,95,fuel 
6/20/2026,TXN-90822,INVOICE #1042 - FREIGHT DELIVERY SERVICES,3400,sales
6/21/2026,TXN-90823,GEICO COMMERCIAL AUTO INS,-580,INSURANCE
6/22/2026,TXN-90824,WM SUPERCENTER - BREAKROOM COFFEE,-42.15,supplies
6/24/2026,TXN-90825,LOVES TRAVEL STOP FUEL,185.4,FUEL
6/25/2026,TXN-90826,COMCAST BUSINESS INTERNET,-160,utilities
6/25/2026,TXN-90827,CLIENT INVOICE #1043 - INBOUND FREIGHT,2100,REVENUE
6/26/2026,TXN-90828,QUICKBOOKS ONLINE SUBSCRIPTION,-75,SOFTWARE_EXP
6/27/2026,TXN-90829,TA TRUCK SERVICE ENGINE REPAIR,-1250,maint
6/28/2026,,CASH WITHDRAWAL AT ATM,-200,MISC
6/29/2026,TXN-90831,PILOT TRAVEL CENTER FUEL,310.2,FUEL
6/30/2026,TXN-90832,INTEREST EARNED SAVINGS,4.55,INCOME
6/30/2026,TXN-90833,FEDEX SHIP CENTER PACKAGE,-62.4,Supplies
6/30/2026,TXN-90834,INVOICE #1044 - FREIGHT DELIVERY,4200,Sales
6/30/2026,TXN-90834,INVOICE #1044 - FREIGHT DELIVERY,4200,Sales
