Unnamed: 0,Transaction date,Transaction type,Num,Name,Description,Split,Amount,Balance
Horizon Logistics Checking,,,,,,,,
,6/1/2026,Expense,,SHELL STATION,FUEL DEPOSIT - SHELL STATION,FUEL,-120.5,-120.5
,6/1/2026,Deposit,,,,Opening Balance Equity,10000,9879.5
,6/3/2026,Expense,,ADOBE SYSTEMS,ADOBE SYSTEMS INC. (SAAS SUBSCRIPTION),SOFTWARE AND APPS,-35,9844.5
,6/4/2026,Expense,,PILOT GAS STATION,PILOT TRAVEL CENTER FUEL,FUEL,-240.75,9603.75
,6/5/2026,Expense,,OFFICE DEPOT,OFFICE DEPOT - CHAIRS & DESK,OFFICE SUPPLIES,-450,9153.75
,6/8/2026,Deposit,,,CLIENT INVOICE #1041 - RECEIVED PAYMENT,SERVICES REVENUE,1500,10653.75
,6/10/2026,Expense,,,WROONG VENDOR ENTRY ERROR,Uncategorized Expense,-110,10543.75
,6/12/2026,Expense,,AMAZON,AMAZON WEB SERVICES AWS CLOUD,SOFTWARE AND APPS,-85.2,10458.55
,6/15/2026,Deposit,,OFFICE DEPOT,REFUND FROM OFFICE DEPOT (RETURNED CHAIR),REFUND,150,10608.55
,6/16/2026,Expense,,TRACTOR SUPPLY CO. REPAAIR,TRACTOR SUPPLY CO. REPAIRS,MAINTENANCE,-320,10288.55
,6/18/2026,Expense,,SHELL STATION,SHELL OIL 04322,FUEL,-95,10193.55
,6/20/2026,Deposit,,,INVOICE #1042 - FREIGHT DELIVERY SERVICES,SERVICES REVENUE,3400,13593.55
,6/21/2026,Expense,,GEICO INSURANCE,GEICO COMMERCIAL AUTO INS,INSURANCE,-580,13013.55
,6/22/2026,Expense,,WM SUPERCENTER,WM SUPERCENTER - BREAKROOM COFFEE,UTILITIES,-42.15,12971.4
,6/24/2026,Expense,,LOVES TRAVELS,LOVES TRAVEL STOP FUEL,FUEL,-185.4,12786
,6/25/2026,Expense,,COMCAST,COMCAST BUSINESS INTERNET,UTILITIES,-160,12626
,6/25/2026,Deposit,,,CLIENT INVOICE #1043 - INBOUND FREIGHT,SERVICES REVENUE,2100,14726
,6/26/2026,Expense,,QUICKBOOKS,QUICKBOOKS ONLINE SUBSCRIPTION,SOFTWARE AND APPS,-75,14651
,6/27/2026,Expense,,TA TRUCK REPAIR,TA TRUCK SERVICE ENGINE REPAIR,MAINTENANCE,-1250,13401
,6/28/2026,Expense,,,"""CASH WITHDRAWAL AT ATM"" - awaiting receipt/clarification from team.",Uncategorized Expense,-200,13201
,6/29/2026,Expense,,PILOT GAS STATION,PILOT TRAVEL CENTER FUEL,FUEL,-310.2,12890.8
,6/30/2026,Deposit,,,INTEREST EARNED SAVINGS,INTEREST INCOME,4.55,12895.349999999999
,6/30/2026,Expense,,FEDEX,FEDEX SHIP CENTER PACKAGE,SHIPPING,-62.4,12832.949999999999
,6/30/2026,Deposit,,,INVOICE #1044 - FREIGHT DELIVERY,SERVICES REVENUE,4200,17032.949999999997
